trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar
2017-12-29,16.4853,16.612,16.4346,16.5191,16.5613,191104.85,-0.0421999999999975,-0.2548,373980.592,16.302363889961175,16.177196797994462,0.12516709196671272,0.0639682571699637,0.12239766959349804
2018-01-02,16.4853,17.2961,16.4853,17.0849,16.5191,474236.76,0.5657999999999994,3.4251,962808.336,16.42275406073638,16.244434072217093,0.17831998851928788,0.08683860343982855,0.18296277015891865
2018-01-03,17.0596,17.7859,17.0596,17.4565,17.0849,572079.34,0.3715999999999972,2.175,1190361.721,16.581791897546168,16.334216733534348,0.24757516401182045,0.11898591555422694,0.257178496915187
2018-01-04,17.5241,17.6339,17.144,17.5241,17.4565,321503.73,0.0676000000000023,0.3872,661505.771,16.726762374846757,16.422356234754027,0.3044061400927305,0.15606996046192764,0.2966723592616057
2018-01-05,17.3383,18.4362,17.3383,18.149,17.5241,822149.31,0.6249000000000002,3.5659,1758204.052,16.94556816333187,16.550255772920394,0.39531239041147614,0.20391844645183735,0.3827878879192776
2018-01-08,18.2335,19.2554,18.1997,18.6895,18.149,841734.81,0.540499999999998,2.9781,1870854.3,17.21386536897312,16.708718308259623,0.5051470607134974,0.26416416930416936,0.481965782818656
2018-01-09,18.5798,18.9345,18.394,18.7149,18.6895,329057.67,0.0254000000000012,0.1359,727641.933,17.444793773746486,16.85732435949965,0.5874694142468364,0.3288252182927028,0.5172883919082673
2018-01-10,18.5798,18.9851,18.1322,18.3686,18.7149,356191.93,-0.3462999999999994,-1.8504,781964.954,17.58691780855472,16.96927070324042,0.6176471053143011,0.3865895956970225,0.4621150192345572
2018-01-11,18.4869,18.4953,17.9886,18.1153,18.3686,328575.95,-0.2532999999999994,-1.379,706044.407,17.66820737646938,17.054161762259646,0.6140456142097328,0.43208079939956456,0.3639296296203365
2018-01-12,18.2757,18.6642,18.0561,18.2673,18.1153,292732.15,0.1519999999999974,0.8391,636646.452,17.760375472397165,17.144023853944116,0.6163516184530486,0.4689349632102614,0.2948333104855745
