trade_date,open,close,high,low,volume,vol,pre_close,change,pct_chg,amount,ma5,ma10,ma20,ma30,ma48
2016-11-16,30.625,30.6425,30.7125,30.5463,243869.97,243869.97,30.59,0.0524999999999984,0.1716,853899.376,30.60052,30.577769999999997,30.374764999999996,30.22834333333333,30.307606250000003
2016-11-17,30.6163,30.625,30.6425,30.45,238715.63,238715.63,30.6425,-0.0174999999999982,-0.0571,835013.724,30.611020000000003,30.58039,30.41239,30.251969999999996,30.322727083333334
2016-11-18,30.625,30.6337,30.6775,30.5725,320696.91,320696.91,30.625,0.008700000000001,0.0284,1122418.018,30.6145,30.587390000000006,30.446950000000005,30.27676,30.32914791666667
2016-11-21,30.5813,31.4125,31.8063,30.5813,1089035.6,1089035.6,30.6337,0.7788000000000004,2.5423,3918207.061,30.780739999999998,30.667009999999998,30.508634999999998,30.314676666666667,30.349929166666666
2016-11-22,31.3338,31.605,31.885,31.3338,737021.79,737021.79,31.4125,0.192499999999999,0.6128,2668070.771,30.98374,30.76501,30.577324999999995,30.365426666666668,30.36779375
2016-11-23,31.6925,31.4825,31.8063,31.465,440133.12,440133.12,31.605,-0.1224999999999987,-0.3876,1589604.839,31.15174,30.87613,30.645575,30.414426666666664,30.38183125
2016-11-24,31.4825,31.8675,32.0513,31.4825,520764.53,520764.53,31.4825,0.384999999999998,1.2229,1891778.69,31.400240000000004,31.005629999999996,30.74314,30.481510000000004,30.40078958333333
2016-11-25,31.8675,32.1825,32.2,31.6488,458330.79,458330.79,31.8675,0.3149999999999977,0.9885,1670622.682,31.71,31.16225,30.841575,30.559383333333336,30.424852083333334
2016-11-28,32.3837,32.0338,32.6987,31.9725,688978.51,688978.51,32.1825,-0.148699999999998,-0.4621,2545372.847,31.83426,31.307500000000005,30.929075,30.63726,30.452014583333334
2016-11-29,32.0338,32.1738,32.6375,31.8938,665386.24,665386.24,32.0338,0.1400000000000005,0.437,2455023.676,31.948020000000003,31.46588,31.003889999999995,30.71222,30.489385416666668
2016-11-30,32.2088,31.7887,32.4537,31.7013,508039.84,508039.84,32.1738,-0.3851000000000013,-1.1969,1860542.541,32.00926,31.5805,31.079135,30.776676666666667,30.526389583333337
2016-12-01,31.8063,31.8675,32.1388,31.71,474386.09,474386.09,31.7887,0.078800000000001,0.2479,1728939.212,32.00926,31.70475,31.14257,30.84317666666667,30.55282083333333
2016-12-02,31.8675,31.7363,31.8762,31.4737,633715.07,633715.07,31.8675,-0.1311999999999997,-0.4117,2290250.433,31.92002,31.815009999999994,31.2012,30.90297,30.57870625
2016-12-05,31.465,31.7275,31.7538,31.3862,622095.26,622095.26,31.7363,-0.0088000000000008,-0.0277,2244795.953,31.858759999999997,31.846510000000002,31.256759999999996,30.95459333333333,30.60768958333333
2016-12-06,31.6663,31.6488,31.9113,31.6138,376125.45,376125.45,31.7275,-0.0786999999999977,-0.248,1365476.594,31.75376,31.85089,31.307949999999998,31.001846666666665,30.628837500000003
2016-12-07,31.6488,31.9025,32.06,31.5613,310670.29,310670.29,31.6488,0.2536999999999985,0.8016,1127983.993,31.776519999999998,31.89289,31.38451,31.061346666666665,30.65745625
2016-12-08,32.0338,31.9375,32.1388,31.8762,295168.34,295168.34,31.9025,0.0350000000000001,0.1097,1079442.252,31.790519999999997,31.899890000000006,31.45276,31.12872333333333,30.696102083333333
2016-12-09,32.06,32.2525,32.5063,31.92,487033.47,487033.47,31.9375,0.3149999999999977,0.9863,1793610.602,31.893759999999997,31.906889999999997,31.534569999999995,31.19668,30.741675
2016-12-12,32.48,32.2875,33.04,32.1125,1069343.94,1069343.94,32.2525,0.0350000000000036,0.1085,3969638.952,32.005759999999995,31.932259999999996,31.619880000000002,31.263469999999998,30.7919875
2016-12-13,32.2,32.0688,32.3225,31.9725,395597.41,395597.41,32.2875,-0.2186999999999983,-0.6774,1452198.317,32.08976,31.92176,31.69382,31.309846666666665,30.83683333333333
2016-12-14,32.0513,32.4013,32.8125,32.0338,586449.85,586449.85,32.0688,0.332499999999996,1.0368,2176302.854,32.18952,31.98302,31.781760000000002,31.380429999999997,30.889152083333332
2016-12-15,32.1825,31.15,32.2788,31.0013,786083.4,786083.4,32.4013,-1.2513000000000003,-3.8619,2830157.187,32.03202,31.911270000000002,31.808010000000003,31.398803333333333,30.90738125
2016-12-16,31.0275,31.045,31.2988,30.975,340994.43,340994.43,31.15,-0.1049999999999968,-0.3371,1212632.676,31.790520000000004,31.84214,31.828575,31.414846666666666,30.92743333333333
2016-12-19,31.045,30.975,31.15,30.8963,295596.17,295596.17,31.045,-0.0700000000000002,-0.2255,1047994.448,31.528020000000005,31.76689,31.8067,31.426803333333336,30.947485416666666
2016-12-20,30.9925,30.3275,31.0188,30.1438,626950.62,626950.62,30.975,-0.6475000000000009,-2.0904,2184834.561,31.179759999999998,31.63476,31.742825,31.416886666666667,30.957329166666664
2016-12-21,30.4938,30.3975,30.6687,30.2838,376259.8,376259.8,30.3275,0.0700000000000002,0.2308,1311462.976,30.779000000000003,31.484259999999995,31.688574999999997,31.41776,30.9688125
2016-12-22,30.3275,30.4238,30.5637,30.1,295009.31,295009.31,30.3975,0.0262999999999991,0.0865,1022385.359,30.633760000000002,31.33289,31.616390000000003,31.412803333333333,30.983943749999998
2016-12-23,30.3538,30.3887,30.4238,30.1,301921.21,301921.21,30.4238,-0.0350999999999999,-0.1154,1045239.275,30.502499999999998,31.14651,31.526699999999998,31.405216666666668,30.993604166666668
2016-12-26,30.2312,30.73,30.765,30.0563,351312.52,351312.52,30.3887,0.3413000000000004,1.1231,1222688.981,30.453500000000002,30.99076,31.461509999999997,31.41017333333333,31.011833333333332
2016-12-27,30.625,30.8525,30.9225,30.6075,217802.73,217802.73,30.73,0.1224999999999987,0.3986,767053.567,30.5585,30.869130000000002,31.395445000000002,31.418923333333336,31.03225
2016-12-28,30.8,30.8788,30.905,30.6163,386318.69,386318.69,30.8525,0.0262999999999991,0.0852,1356675.449,30.65476,30.716880000000003,31.34995,31.4268,31.05175625
2016-12-29,30.7563,30.7388,30.8788,30.6513,290420.37,290420.37,30.8788,-0.139999999999997,-0.4534,1021548.13,30.71776,30.675760000000004,31.293515000000003,31.43059333333333,31.063422916666667
2016-12-30,30.8613,31.0013,31.0188,30.7212,270763.31,270763.31,30.7388,0.2624999999999993,0.854,955339.321,30.84028,30.671390000000002,31.256765,31.442846666666664,31.079466666666665
2017-01-03,30.9225,31.22,31.5088,30.905,296977.99,296977.99,31.0013,0.2186999999999983,0.7055,1062134.997,30.93828,30.69589,31.231390000000005,31.436429999999998,31.10243541666667
2017-01-04,31.2287,31.1938,31.3163,31.0712,252574.05,252574.05,31.22,-0.0261999999999993,-0.0839,900817.691,31.00654,30.782519999999998,31.208639999999995,31.422723333333334,31.12905208333333
2017-01-05,31.2638,31.2638,31.4475,31.22,286910.33,286910.33,31.1938,0.0700000000000002,0.2244,1027949.508,31.08354,30.869149999999998,31.176705,31.415433333333333,31.150927083333332
2017-01-06,31.2638,31.01,31.4038,30.9313,362862.27,362862.27,31.2638,-0.2537999999999982,-0.8118,1290794.307,31.137780000000003,30.92777,31.130329999999997,31.38685,31.16605625
2017-01-09,31.0363,30.9925,31.1063,30.8613,270616.97,270616.97,31.01,-0.0175000000000018,-0.0564,958713.466,31.136019999999995,30.98815,31.06733,31.34718333333333,31.172618749999998
2017-01-10,31.01,30.8262,31.0538,30.8,205350.9,205350.9,30.9925,-0.1662999999999996,-0.5366,725447.485,31.057259999999996,30.997770000000003,30.994265000000002,31.30693,31.183918750000004
2017-01-11,30.8438,30.8262,31.0013,30.7125,209963.49,209963.49,30.8262,0.0,0.0,740408.787,30.98374,30.99514,30.932135,31.262009999999997,31.188656250000005
2017-01-12,30.8875,30.8087,30.9925,30.7563,187187.03,187187.03,30.8262,-0.0174999999999982,-0.0568,660770.328,30.892719999999997,30.988129999999995,30.852505,31.229343333333336,31.193760416666667
2017-01-13,30.8262,31.115,31.4125,30.7913,330738.97,330738.97,30.8087,0.3062999999999967,0.9942,1177624.289,30.91372,31.02575,30.850755000000003,31.204259999999998,31.20415
2017-01-16,31.115,31.6663,31.745,30.8087,1129172.27,1129172.27,31.115,0.5513000000000012,1.7718,4058898.504,31.04848,31.09225,30.881819999999998,31.201926666666665,31.22584375
2017-01-17,31.5613,31.4825,31.7975,31.4038,349493.14,349493.14,31.6663,-0.1837999999999979,-0.5804,1261227.196,31.17974,31.1185,30.907195,31.19376,31.24899375
2017-01-18,31.5613,31.6838,31.885,31.5525,266869.11,266869.11,31.4825,0.2012999999999998,0.6394,968675.234,31.351260000000003,31.1675,30.975010000000005,31.194926666666667,31.272145833333337
2017-01-19,31.6138,31.5437,31.8238,31.43,199628.34,199628.34,31.6838,-0.1401000000000003,-0.4422,721764.754,31.49826,31.19549,31.03232,31.18296666666667,31.291466666666665
2017-01-20,31.5437,31.7275,31.745,31.5088,260332.77,260332.77,31.5437,0.1837999999999979,0.5827,940875.013,31.62076,31.267240000000005,31.097505,31.175966666666667,31.315345833333335
2017-01-23,31.7275,31.675,31.8675,31.535,398001.28,398001.28,31.7275,-0.0524999999999984,-0.1655,1440993.193,31.622500000000002,31.335490000000004,31.16182,31.156716666666668,31.337949999999996
2017-01-24,31.675,31.6575,31.7887,31.5875,268665.6,268665.6,31.675,-0.0175000000000018,-0.0552,973085.798,31.657500000000006,31.418619999999997,31.208195,31.135716666666667,31.35909583333333
2017-01-25,31.675,31.8762,31.8938,31.5788,358922.32,358922.32,31.6575,0.2187000000000019,0.6908,1301946.746,31.695980000000002,31.52362,31.259380000000004,31.12929666666667,31.385162500000003
2017-01-26,31.8938,31.9463,32.2,31.885,277205.42,277205.42,31.8762,0.0701,0.2199,1014531.003,31.7765,31.63738,31.312755,31.11413,31.41250833333333
2017-02-03,31.9375,31.1675,31.9375,31.15,489267.54,489267.54,31.9463,-0.7788000000000004,-2.4378,1754524.97,31.664499999999997,31.642630000000004,31.33419,31.11471333333333,31.407404166666666
2017-02-06,31.2725,31.4475,31.5263,31.0888,648914.2,648914.2,31.1675,0.2800000000000011,0.8984,2322670.718,31.619,31.620749999999997,31.3565,31.12813,31.404122916666665
2017-02-07,31.5,31.5525,31.71,31.43,486180.0,486180.0,31.4475,0.1049999999999968,0.3339,1754121.737,31.598000000000003,31.627750000000002,31.373124999999998,31.14738,31.405581249999997
2017-02-08,31.535,31.5175,31.57,31.2375,396288.63,396288.63,31.5525,-0.0350000000000001,-0.1109,1425349.443,31.52626,31.61112,31.389310000000002,31.187046666666667,31.398289583333334
2017-02-09,31.5613,31.5963,31.8238,31.5,527568.85,527568.85,31.5175,0.078800000000001,0.25,1908930.707,31.456259999999997,31.61638,31.405935,31.227006666666668,31.386077083333333
2017-02-10,31.6838,31.675,31.7975,31.5875,399219.0,399219.0,31.5963,0.0787000000000013,0.2491,1444897.061,31.557760000000002,31.611129999999996,31.439185,31.268713333333334,31.378602083333334
2017-02-13,31.7538,31.7713,31.8588,31.6488,693540.9,693540.9,31.675,0.0962999999999993,0.304,2517882.533,31.622519999999998,31.620759999999997,31.478125,31.314799999999998,31.370216666666664
2017-02-14,31.85,31.5875,31.85,31.4563,490922.75,490922.75,31.7713,-0.1838000000000015,-0.5785,1774534.248,31.629519999999996,31.613760000000003,31.51619,31.343383333333335,31.366024999999997
2017-02-15,31.7363,31.78,31.92,31.6838,672852.26,672852.26,31.5875,0.1925000000000025,0.6094,2442350.202,31.68202,31.60414,31.56388,31.374299999999998,31.364202083333335
2017-02-16,31.8675,31.7625,31.8762,31.6663,347817.14,347817.14,31.78,-0.0175000000000018,-0.0551,1261768.664,31.71526,31.58576,31.61157,31.403756666666666,31.36474791666667
2017-02-17,31.815,31.7275,32.0775,31.675,525503.89,525503.89,31.7625,-0.0350000000000001,-0.1102,1915834.762,31.725759999999998,31.641759999999998,31.642195000000005,31.436713333333334,31.36474791666667
2017-02-20,31.7713,32.2175,32.2788,31.7188,741442.23,741442.23,31.7275,0.490000000000002,1.5444,2715553.5,31.814999999999998,31.718759999999996,31.669755,31.477253333333337,31.37659583333333
2017-02-21,32.2263,32.1738,32.5325,32.1125,548331.69,548331.69,32.2175,-0.0437000000000011,-0.1356,2024707.04,31.932259999999996,31.78089,31.704320000000003,31.509046666666666,31.382247916666667
2017-02-22,32.27,32.2175,32.305,32.0863,380419.92,380419.92,32.1738,0.0437000000000011,0.1358,1400124.08,32.01976,31.850890000000003,31.731005,31.54317,31.38808125
2017-02-23,32.1738,31.955,32.2788,31.885,459520.8,459520.8,32.2175,-0.2625000000000028,-0.8148,1681434.618,32.058260000000004,31.886760000000002,31.751570000000005,31.56621,31.381883333333334
2017-02-24,31.9638,31.99,31.9988,31.815,256833.49,256833.49,31.955,0.0350000000000001,0.1095,936256.08,32.110760000000006,31.918260000000004,31.764695,31.598876666666666,31.37568541666667
2017-02-27,31.9463,31.78,32.06,31.6838,401406.82,401406.82,31.99,-0.2099999999999973,-0.6565,1461978.561,32.02326,31.919130000000003,31.769945,31.625126666666667,31.369668750000002
2017-02-28,31.78,31.7013,31.885,31.6663,268469.1,268469.1,31.78,-0.0787000000000013,-0.2476,973920.023,31.92876,31.930509999999998,31.772135,31.654296666666667,31.355085416666668
2017-03-01,31.7275,31.64,31.78,31.6138,355081.77,355081.77,31.7013,-0.0612999999999992,-0.1934,1286566.444,31.813260000000003,31.91651,31.760325,31.681423333333335,31.365293749999996
2017-03-02,31.7975,31.3775,31.7975,31.36,465656.8,465656.8,31.64,-0.2624999999999993,-0.8296,1677956.501,31.69776,31.87801,31.731885,31.700383333333335,31.37222083333333
