,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
805,601318.SH,20180905,58.5728,58.782,57.1087,57.1087,58.9275,-1.818800000000003,-3.0865,507437.18,3235414.305
806,601318.SH,20180904,57.1542,59.0457,56.8723,58.9275,57.0451,1.882400000000004,3.2998,658378.78,4208358.192
807,601318.SH,20180903,56.9269,57.2906,56.4813,57.0451,57.2724,-0.2272999999999996,-0.3969,323790.59,2027395.425
808,601318.SH,20180831,56.745,57.6817,56.5631,57.2724,57.4361,-0.16370000000000573,-0.285,521114.0,3273908.661
809,601318.SH,20180830,57.7453,58.2455,57.3088,57.4361,57.2997,0.13640000000000185,0.238,458496.33,2916938.041
810,601318.SH,20180829,56.9996,57.5634,56.9723,57.2997,57.1997,0.10000000000000142,0.1748,278926.79,1757300.92
811,601318.SH,20180828,58.0181,58.0545,56.9269,57.1997,57.718,-0.5183000000000035,-0.898,424944.21,2683512.093
812,601318.SH,20180827,57.3634,57.909,57.036,57.718,56.8087,0.9093000000000018,1.6006,585793.43,3706028.568
813,601318.SH,20180824,56.1084,57.5907,55.9266,56.8087,56.4995,0.30920000000000414,0.5473,572631.51,3574475.333
814,601318.SH,20180823,55.481,56.7268,55.481,56.4995,55.4082,1.0912999999999968,1.9696,756111.3,4682981.908
815,601318.SH,20180822,55.7265,55.9266,54.899,55.4082,54.0351,1.3731000000000009,2.5411,1041857.14,6355540.682
816,601318.SH,20180821,52.6164,54.2442,52.6164,54.0351,52.571,1.464100000000002,2.785,636650.64,3768112.543
817,601318.SH,20180820,51.7798,52.5801,51.6161,52.571,51.4524,1.1186000000000007,2.174,462142.66,2653996.237
818,601318.SH,20180817,52.4709,52.5801,51.3433,51.4524,51.8162,-0.3638000000000048,-0.7021,351360.05,2009697.401
819,601318.SH,20180816,51.2706,52.6983,50.8159,51.8162,51.8617,-0.04549999999999699,-0.0877,475074.98,2710351.662
820,601318.SH,20180815,53.6804,53.6986,51.5343,51.8617,53.6986,-1.8369,-3.4208,613747.92,3531927.672
821,601318.SH,20180814,54.1624,54.3079,53.2712,53.6986,54.1533,-0.45470000000000255,-0.8397,308740.67,1824184.784
822,601318.SH,20180813,54.3806,54.4261,53.3439,54.1533,54.9626,-0.8093000000000004,-1.4725,454649.48,2692879.775
823,601318.SH,20180810,55.0717,55.4355,54.4079,54.9626,55.1263,-0.16369999999999862,-0.297,349041.51,2108590.693
824,601318.SH,20180809,53.0893,55.4628,52.9074,55.1263,53.0893,2.036999999999999,3.8369,635433.07,3820214.646
825,601318.SH,20180808,54.1533,54.2897,52.9165,53.0893,54.1624,-1.0730999999999966,-1.9813,412109.11,2426952.929
826,601318.SH,20180807,52.8438,54.1987,52.7074,54.1624,52.5892,1.5732,2.9915,561861.21,3306492.624
827,601318.SH,20180806,52.571,53.5258,52.1617,52.5892,52.5801,0.009099999999996555,0.0173,419785.66,2438442.832
828,601318.SH,20180803,53.1348,53.4349,52.5437,52.5801,52.9802,-0.4001000000000019,-0.7552,362083.3,2109021.439
829,601318.SH,20180802,54.026,54.0987,52.5619,52.9802,54.2897,-1.3094999999999999,-2.4121,646804.28,3782255.927
830,601318.SH,20180801,56.1994,56.7541,54.2169,54.2897,56.0175,-1.727799999999995,-3.0844,563434.32,3440050.571
831,601318.SH,20180731,56.0175,56.2812,55.3082,56.0175,55.9811,0.03640000000000043,0.065,260698.59,1600697.232
832,601318.SH,20180730,55.3809,56.3085,55.2445,55.9811,55.3537,0.6273999999999944,1.1334,376370.18,2303730.924
833,601318.SH,20180727,55.4537,55.772,55.0808,55.3537,55.29,0.06370000000000431,0.1152,334171.59,2037644.574
834,601318.SH,20180726,56.6359,56.8177,55.1809,55.29,56.5267,-1.236699999999999,-2.1878,482593.31,2960086.715
835,601318.SH,20180725,56.5904,56.5995,55.8356,56.5267,56.1448,0.3819000000000017,0.6802,409006.24,2529701.219
836,601318.SH,20180724,55.5264,57.2906,55.4992,56.1448,55.5446,0.6001999999999938,1.0806,836847.07,5207884.86
837,601318.SH,20180723,54.8808,56.0175,54.7898,55.5446,55.3264,0.21820000000000306,0.3944,804573.37,4898411.219
838,601318.SH,20180720,53.2894,56.0266,52.9529,55.3264,53.3894,1.9369999999999976,3.6281,1069350.78,6433573.521
839,601318.SH,20180719,53.0711,53.9259,53.062,53.3894,52.571,0.818400000000004,1.5568,703699.03,4143173.505
840,601318.SH,20180718,52.9984,53.7532,52.5164,52.571,52.7619,-0.19089999999999918,-0.3618,464485.05,2717273.919
841,601318.SH,20180717,52.6528,52.9802,52.2163,52.7619,52.4891,0.2727999999999966,0.5197,379943.02,2195501.138
842,601318.SH,20180716,53.0166,53.4531,52.1799,52.4891,53.2348,-0.7456999999999994,-1.4008,431942.08,2494024.299
843,601318.SH,20180713,53.444,53.5804,52.9984,53.2348,53.0893,0.1454999999999984,0.2741,393785.46,2307228.865
844,601318.SH,20180712,52.0526,53.5531,52.0526,53.0893,51.9162,1.173099999999998,2.2596,647707.63,3777942.008
845,601318.SH,20180711,51.607,52.2982,51.4343,51.9162,52.9074,-0.9911999999999992,-1.8735,473781.85,2701645.194
846,601318.SH,20180710,53.6531,53.6986,52.3345,52.9074,53.544,-0.6365999999999943,-1.1889,555627.43,3233279.752
847,601318.SH,20180709,52.38,53.5713,52.0162,53.544,51.7798,1.7641999999999953,3.4071,696043.04,4054246.964
848,601318.SH,20180706,50.9068,52.4255,50.5067,51.7798,50.4976,1.2822000000000031,2.5391,824311.19,4674671.786
849,601318.SH,20180705,50.6522,51.1705,50.1793,50.4976,50.4885,0.009099999999996555,0.018,548434.32,3054478.672
850,601318.SH,20180704,51.1342,51.7253,50.3521,50.4885,51.2342,-0.7456999999999994,-1.4555,519493.68,2909529.851
851,601318.SH,20180703,50.5613,51.4343,49.4063,51.2342,50.2157,1.018500000000003,2.0283,949167.01,5276896.813
852,601318.SH,20180702,52.9984,52.9984,49.6973,50.2157,53.2712,-3.055500000000002,-5.7357,900189.16,5082587.156
853,601318.SH,20180629,51.9435,53.3167,51.9253,53.2712,51.6798,1.5914000000000001,3.0793,645112.04,3729377.8
854,601318.SH,20180628,51.9344,52.6983,51.407,51.6798,52.2891,-0.6092999999999975,-1.1653,735991.24,4196752.214
855,601318.SH,20180627,53.7441,54.0623,52.2345,52.2891,53.8714,-1.5823000000000036,-2.9372,697084.1,4051818.403
856,601318.SH,20180626,53.7441,54.2078,52.5619,53.8714,54.3715,-0.5000999999999962,-0.9198,717927.64,4222114.929
