,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
64,JD,20190604,26.8,26.18,26.9,26.09,25.76,4.04,11199008,298068328.52,26.62
65,JD,20190603,25.76,25.81,26.5,25.5,25.76,0.0,11858985,308044274.48,25.98
66,JD,20190531,25.76,25.81,25.9,25.52,26.35,-2.24,11156153,287160471.52,25.74
67,JD,20190530,26.35,26.03,26.63,26.03,26.01,1.31,8466590,223313939.65,26.38
68,JD,20190529,26.01,25.97,26.13,25.48,26.27,-0.99,12530114,324273110.32,25.88
69,JD,20190528,26.27,26.45,26.77,26.22,26.32,-0.19,14073778,371587173.93,26.4
70,JD,20190524,26.32,27.08,27.22,26.17,26.7,-1.42,17438247,461049742.68,26.44
71,JD,20190523,26.7,27.5,27.63,26.24,28.23,-5.42,27158075,731578955.68,26.94
72,JD,20190522,28.23,28.76,29.04,28.19,29.05,-2.82,12794508,364846910.68,28.52
73,JD,20190521,29.05,28.67,29.27,28.49,28.36,2.43,10069403,291850589.75,28.98
74,JD,20190520,28.36,28.75,28.97,28.08,29.31,-3.24,17371485,493556825.19,28.41
75,JD,20190517,29.31,29.58,30.02,29.15,30.46,-3.78,18158379,536915974.99,29.57
76,JD,20190516,30.46,30.25,30.89,29.88,30.44,0.07,14903211,454093357.76,30.47
77,JD,20190515,30.44,29.62,30.76,29.45,29.67,2.6,21663137,656893577.88,30.32
78,JD,20190514,29.67,28.63,29.8,28.26,28.18,5.29,22847856,667467966.11,29.21
79,JD,20190513,28.18,26.93,28.45,26.82,28.17,0.04,30821653,861058324.71,27.94
80,JD,20190510,28.17,30.19,30.47,27.91,27.51,2.4,57736633,1655153263.73,28.67
81,JD,20190509,27.51,26.39,27.77,25.81,26.89,2.31,33001333,888920539.55,26.94
82,JD,20190508,26.89,26.95,27.44,26.7,27.13,-0.88,18499860,500979927.27,27.08
83,JD,20190507,27.13,28.29,28.5,26.78,28.7,-5.47,28758618,785938433.32,27.33
84,JD,20190506,28.7,28.24,28.93,27.0,30.05,-4.49,27358739,775450517.03,28.34
85,JD,20190503,30.05,30.26,30.88,30.05,29.99,0.2,14887118,452618958.74,30.4
86,JD,20190502,29.99,30.13,30.89,29.88,30.2,-0.7,11682450,352807641.83,30.2
87,JD,20190501,30.2,30.34,31.0,30.18,30.27,-0.23,12212129,373868247.69,30.61
88,JD,20190430,30.27,30.53,30.89,30.01,29.87,1.36,18458594,561499428.16,30.42
89,JD,20190429,29.87,29.24,29.98,29.14,29.13,2.52,10643739,315888068.52,29.68
90,JD,20190426,29.13,29.03,29.28,28.26,29.23,-0.34,17751715,510770006.94,28.77
91,JD,20190425,29.23,29.42,29.5,28.42,29.66,-1.45,14814008,428709969.7,28.94
92,JD,20190424,29.66,29.7,29.9,29.34,29.78,-0.4,7644512,226201087.15,29.59
93,JD,20190423,29.78,29.5,30.14,29.35,29.65,0.44,12297110,366564625.77,29.81
94,JD,20190422,29.65,29.66,29.74,29.08,30.01,-1.2,11174106,329779189.08,29.51
95,JD,20190418,30.01,29.84,30.02,29.48,29.85,0.54,9563676,284951610.46,29.8
96,JD,20190417,29.85,29.97,30.64,29.21,29.91,-0.2,17614872,525199827.16,29.82
97,JD,20190416,29.91,30.08,30.53,29.4,29.66,0.84,15046317,449358347.48,29.87
98,JD,20190415,29.66,30.4,30.66,29.12,30.57,-2.98,16600407,491810364.35,29.63
99,JD,20190412,30.57,30.63,31.19,30.32,30.2,1.23,11289258,345749376.37,30.63
100,JD,20190411,30.2,29.81,30.35,29.55,30.17,0.1,10818930,324523499.11,30.0
101,JD,20190410,30.17,30.63,30.84,29.81,30.9,-2.36,20472727,617971414.13,30.19
102,JD,20190409,30.9,30.75,31.32,30.39,30.79,0.36,13887321,428680768.29,30.87
103,JD,20190408,30.79,30.92,31.18,30.67,31.24,-1.44,11378684,351478514.08,30.89
104,JD,20190405,31.24,30.5,31.57,30.37,30.25,3.27,17824344,554681001.29,31.12
105,JD,20190404,30.25,29.73,30.66,29.68,30.31,-0.2,14536883,441400779.18,30.36
106,JD,20190403,30.31,30.71,30.93,30.23,30.29,0.07,15451489,471948734.87,30.54
107,JD,20190402,30.29,31.14,31.2,30.1,31.26,-3.1,20620250,627816400.55,30.45
108,JD,20190401,31.26,30.93,31.63,30.78,30.15,3.68,25515797,797942940.29,31.27
109,JD,20190329,30.15,29.77,30.53,29.69,29.41,2.52,22128180,666350420.62,30.11
110,JD,20190328,29.41,29.23,29.45,28.86,29.16,0.86,9747254,284683154.46,29.21
111,JD,20190327,29.16,28.81,29.71,28.81,28.81,1.21,20596579,604004998.06,29.33
112,JD,20190326,28.81,28.5,29.05,28.32,28.39,1.48,17986930,518034358.17,28.8
113,JD,20190325,28.39,27.69,28.55,27.47,28.0,1.39,14183102,398728128.22,28.11
114,JD,20190322,28.0,28.41,28.76,27.84,28.76,-2.64,13944215,392236795.85,28.13
115,JD,20190321,28.76,27.97,28.82,27.87,28.08,2.42,14343004,408302237.5,28.47
116,JD,20190320,28.08,28.16,28.29,27.67,28.31,-0.81,12752387,356402525.9,27.95
117,JD,20190319,28.31,28.3,28.67,28.01,28.14,0.6,12356532,350581910.71,28.37
118,JD,20190318,28.14,28.25,28.69,27.92,27.93,0.75,12513809,352477696.97,28.17
119,JD,20190315,27.93,28.16,28.71,27.78,27.89,0.14,16302282,458162642.69,28.1
120,JD,20190314,27.89,27.75,27.97,27.38,28.13,-0.85,17280891,479245713.99,27.73
121,JD,20190313,28.13,28.27,28.42,27.86,28.11,0.07,13941520,392968299.8,28.19
122,JD,20190312,28.11,27.95,28.43,27.53,27.62,1.77,18551090,520530525.43,28.06
123,JD,20190311,27.62,27.46,27.89,27.16,27.05,2.11,21410836,591208743.08,27.61
124,JD,20190308,27.05,26.71,27.25,26.37,27.84,-2.84,28554012,769559320.18,26.95
125,JD,20190307,27.84,28.5,28.65,27.6,29.03,-4.1,20959536,585383072.85,27.93
126,JD,20190306,29.03,29.25,29.66,28.72,29.35,-1.09,21316911,621560558.68,29.16
127,JD,20190305,29.35,28.88,29.7,28.7,28.89,1.59,19982868,584852605.75,29.27
128,JD,20190304,28.89,29.04,29.2,28.14,28.73,0.56,23454403,675686239.19,28.81
129,JD,20190301,28.73,28.03,29.39,27.97,27.71,3.68,37083594,1073292104.76,28.94
130,JD,20190228,27.71,28.58,28.62,26.58,25.97,6.7,66593125,1834001699.31,27.54
131,JD,20190227,25.97,26.42,26.9,25.87,26.59,-2.33,22994172,605701142.7,26.34
132,JD,20190226,26.59,25.98,26.82,25.66,26.19,1.53,20278754,536141845.23,26.44
133,JD,20190225,26.19,27.11,27.38,26.04,25.95,0.92,29338465,779135571.28,26.56
134,JD,20190222,25.95,24.55,25.96,24.48,24.27,6.92,27113290,691980100.29,25.52
135,JD,20190221,24.27,24.82,24.88,24.01,24.68,-1.66,13542641,328560721.83,24.26
136,JD,20190220,24.68,24.81,25.42,24.51,24.64,0.16,13209231,329033939.42,24.91
137,JD,20190219,24.64,23.66,24.77,23.65,23.96,2.84,12430950,303796332.35,24.44
138,JD,20190215,23.96,24.51,24.57,23.91,24.33,-1.52,11489360,277450798.47,24.15
139,JD,20190214,24.33,24.54,24.62,23.88,24.61,-1.14,10126762,245007973.52,24.19
140,JD,20190213,24.61,25.0,25.56,24.49,24.68,-0.28,12449903,309347682.45,24.85
141,JD,20190212,24.68,24.67,25.35,24.57,24.28,1.65,10932836,272706496.48,24.94
142,JD,20190211,24.28,24.35,24.73,24.15,23.99,1.21,9035113,221020575.36,24.46
143,JD,20190208,23.99,23.65,24.28,23.6,23.98,0.04,8246199,197488269.33,23.95
144,JD,20190207,23.98,24.77,24.93,23.52,25.11,-4.5,15836102,381156003.49,24.07
145,JD,20190206,25.11,25.47,25.71,24.96,25.42,-1.22,11083110,279936139.48,25.26
146,JD,20190205,25.42,24.45,25.98,24.41,24.29,4.65,19165649,487992075.03,25.46
147,JD,20190204,24.29,24.5,24.54,24.16,24.63,-1.38,9054281,220308774.35,24.33
148,JD,20190201,24.63,24.74,25.31,24.31,24.85,-0.89,11938168,294185063.37,24.64
149,JD,20190131,24.85,24.5,25.45,24.47,24.64,0.85,19318415,481581136.76,24.93
150,JD,20190130,24.64,24.01,24.72,23.76,23.52,4.76,19832309,482107665.1,24.31
151,JD,20190129,23.52,23.74,23.87,23.31,23.72,-0.84,11310383,266926147.22,23.6
152,JD,20190128,23.72,23.43,24.14,23.06,23.63,0.38,13925836,330464279.96,23.73
153,JD,20190125,23.63,22.48,23.93,22.47,22.1,6.92,28039860,659329492.36,23.51
154,JD,20190124,22.1,21.98,22.26,21.5,21.97,0.59,13846290,303023245.85,21.88
155,JD,20190123,21.97,22.05,22.6,21.76,21.68,1.34,11262157,249002867.57,22.11
156,JD,20190122,21.68,22.88,22.91,21.5,23.26,-6.79,19538293,431223686.09,22.07
157,JD,20190118,23.26,22.45,23.85,22.3,22.14,5.06,23275227,541688873.37,23.27
158,JD,20190117,22.14,22.05,22.49,22.02,22.33,-0.85,12013731,266325146.25,22.17
159,JD,20190116,22.33,22.37,22.68,22.28,22.25,0.36,9761000,218936330.98,22.43
160,JD,20190115,22.25,22.25,22.74,22.12,22.04,0.95,11862907,265351817.04,22.37
161,JD,20190114,22.04,22.25,22.3,21.53,22.88,-3.67,14129934,310485560.13,21.97
162,JD,20190111,22.88,23.19,23.75,22.69,23.4,-2.22,10034434,230353467.2,22.96
163,JD,20190110,23.4,23.0,23.55,22.83,23.69,-1.22,12368422,288014797.59,23.29
164,JD,20190109,23.69,23.24,24.12,23.22,22.95,3.22,21656219,513854411.53,23.73
165,JD,20190108,22.95,22.99,23.18,22.43,22.76,0.83,15180422,346335346.84,22.81
166,JD,20190107,22.76,22.43,22.85,22.26,22.27,2.2,18889809,427136361.11,22.61
167,JD,20190104,22.27,20.98,22.68,20.75,20.35,9.43,25156942,554587427.87,22.05
168,JD,20190103,20.35,20.89,21.14,20.25,21.27,-4.33,18607993,380896275.5,20.47
169,JD,20190102,21.27,20.31,21.48,20.18,20.93,1.62,15840004,333536549.03,21.06
