symbol,trade_date,pct_change,sz_max_10,diff,dea,jx_days_ud60,jx_dg_120,jx_dg_60,jx_dg_20,jx_dg_10,jx_dg_5,jx_zs_5,jx_zs_10,jx_zs_20,jx_zs_60,pct_fl_1_3,pct_fl_3_10,pct_fl_20_60,sz_jt_20
000004,2022-02-16,2.51,0.0,0.800964,0.637905,0,0.0724924,0.201697,0.361544,0.468854,0.589088,2,8,8,43,2.53021,1.46,2.75804,0
000004,2022-02-11,5.98,0.794647,0.673504,0.542398,0,0.0416994,0.313177,0.366804,0.731362,1.53642,5,5,5,40,1.58592,1.20388,2.15035,0
000004,2022-02-09,2.0,5.24017,0.512068,0.500604,0,0.0143975,0.256546,0.120589,0.21364,0.339087,3,3,3,38,1.03087,1.48023,2.41832,0
000004,2022-02-08,4.32,7.34967,0.427089,0.497738,0,0.0134247,0.252381,0.326672,-0.139386,1.17773,2,2,2,37,1.15813,1.51695,2.44139,0
000004,2022-01-18,2.04,0.0,0.889794,0.693647,0,-0.0359436,0.213118,0.565391,0.784212,0.978341,4,15,15,27,1.84612,1.50572,1.64786,0
000004,2022-01-06,-0.32,4.79015,0.593471,0.325179,0,0.0322733,0.085445,0.519185,0.688369,1.40817,7,7,7,19,2.46771,3.39111,1.02984,0
000004,2022-01-05,10.01,4.45657,0.455134,0.258106,0,0.0790419,0.131177,0.552131,0.822078,1.40942,6,6,6,18,2.40467,1.50059,0.814909,0
000004,2020-11-20,-3.56,0.0,1.55196,1.21707,0,0.0518681,0.174984,0.63835,0.884496,0.31551,2,3,31,19,1.57869,1.4836,1.9695,0
000004,2020-11-19,10.02,0.0,1.48343,1.13335,0,0.0857121,0.196522,0.674413,1.12971,0.766668,1,2,30,18,1.90657,1.20859,1.80259,0
000004,2020-11-13,0.1,6.53168,1.26292,0.817997,0,0.00838148,0.124641,0.672472,0.829747,1.47591,7,7,26,14,0.876721,1.59289,1.91547,0
000004,2020-11-12,6.14,6.63616,1.10367,0.706765,0,0.0122248,0.125291,0.523274,0.716291,1.51492,6,6,25,13,1.39804,1.91784,1.97647,0
000004,2020-11-11,0.0,13.1853,0.887402,0.607539,0,-0.0447173,0.0273135,0.578078,0.513279,1.36265,5,5,24,12,0.733761,1.65925,2.14531,1
000004,2020-11-10,3.45,13.1853,0.778678,0.537574,0,-0.0745288,0.00797024,0.536772,0.584259,1.18927,4,4,23,11,1.71436,1.48826,2.04685,1
000004,2020-07-13,1.61,0.0,0.946096,0.413457,0,0.186898,0.167825,0.523612,0.834845,1.27467,6,6,6,6,0.686821,1.45876,1.81377,0
000004,2020-07-10,2.22,1.60906,0.744874,0.280298,0,0.187509,0.0788081,0.508302,0.972192,1.83129,5,5,5,5,1.16131,1.41742,1.67623,0
000004,2020-07-08,0.48,8.59873,0.327311,0.0721449,0,0.154572,0.0162273,0.238792,0.48566,0.455231,3,3,3,3,0.734806,1.71541,1.26191,1
000004,2020-05-13,10.0,0.0,-0.313978,-0.891835,0,0.267318,0.355733,0.238063,1.08315,1.7226,2,6,2,1,1.60496,2.12765,0.400613,0
000004,2020-03-03,-5.52,3.85343,5.32311,3.77823,0,0.479995,0.876036,2.16562,2.51253,0.20403,3,13,12,20,1.6149,1.31462,4.88551,0
000004,2020-02-28,10.0,10.0,4.56173,2.95704,0,0.457716,0.902263,1.86181,3.28025,1.86698,1,11,10,18,1.20088,1.97409,4.09424,1
000004,2020-02-25,10.0,7.67196,3.69675,1.68334,0,0.487191,0.96158,2.06969,4.02885,5.19383,7,8,7,15,7.2206,2.63031,3.03558,0
000004,2020-02-24,10.01,18.4392,2.81541,1.17999,0,0.409286,0.805001,1.83096,3.41141,5.19476,6,7,6,14,0.133077,2.90625,2.2791,2
000004,2020-02-21,9.99,30.2969,2.03443,0.771128,0,0.335098,0.675399,1.44671,2.91902,5.19191,5,6,5,13,0.702627,3.20846,2.28196,2
000004,2020-02-20,10.0,43.3099,1.35827,0.455303,0,0.280854,0.537168,1.08394,2.28061,4.36339,4,5,4,12,3.20093,4.17991,2.11915,2
000004,2020-02-19,9.99,57.6408,0.793171,0.229561,0,0.21734,0.447062,0.686601,1.82434,3.22018,3,4,3,11,0.604657,2.21162,1.65603,2
000004,2020-02-18,10.01,73.3927,0.34952,0.0886581,0,0.172706,0.330875,0.359059,1.57648,2.24406,2,3,2,10,2.95954,1.76719,1.66619,2
000004,2020-01-22,0.64,0.0,0.608456,0.570435,0,0.114581,0.23298,0.267646,0.481403,0.571547,3,3,3,39,0.92834,1.55797,1.67735,2
000004,2020-01-21,0.94,0.636943,0.568494,0.560929,0,0.107157,0.23718,0.201359,0.366643,0.27611,2,2,2,38,1.44095,1.21331,1.63505,2
