,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
59,20220325,002830.SZ,名雕股份,装修装饰,深圳,92.13,0.67,1.33,15.61,10.21,1.22,1.61,1.21,0.1,4.83,2.67,20161213,3.05,2.29,12.18,494.23,29.26,2.29,8705
60,20220325,002037.SZ,保利联合,化工原料,贵州,70.78,3.27,4.88,159.78,113.56,18.29,12.71,2.61,0.14,7.21,1.8,20040908,14.98,3.07,6.97,0.97,24.03,1.7,17246
61,20220325,605138.SH,盛泰集团,服饰,浙江,20.75,0.56,5.56,57.56,26.74,20.37,2.06,0.37,0.422,3.76,3.1,20211027,10.04,1.81,0.0,0.0,16.46,6.53,62823
62,20220325,002725.SZ,跃岭股份,汽车配件,浙江,2042.88,1.95,2.56,13.36,5.02,4.09,2.97,1.16,0.004,3.98,2.71,20140129,3.35,1.31,39.4,-89.55,9.64,0.15,17678
63,20220325,002144.SZ,宏达高科,纺织,浙江,14.58,1.39,1.77,20.4,8.29,2.36,6.98,3.95,0.55,10.43,1.03,20070803,7.68,4.35,35.74,70.83,25.99,22.49,16743
64,20220325,002370.SZ,亚太药业,化学制药,浙江,0.0,5.06,5.37,17.41,10.6,4.17,13.09,2.44,-0.18,0.67,12.26,20100316,-15.44,-2.88,-39.5,11.06,39.56,-43.58,33950
65,20220325,603922.SH,金鸿顺,汽车配件,江苏,0.0,1.28,1.28,11.63,8.01,2.22,7.31,5.71,-0.12,7.98,2.98,20171023,1.28,1.0,5.43,-10.04,11.69,-4.29,7704
66,20220325,600731.SH,湖南海利,农药化肥,湖南,12.94,4.61,4.62,32.0,17.41,9.85,6.24,1.35,0.44,3.57,2.13,19960802,4.77,1.03,16.01,-5.01,25.28,12.79,17913
67,20220325,002193.SZ,如意集团,纺织,山东,0.0,2.61,2.62,47.48,21.98,11.04,15.96,6.1,-0.17,9.99,0.72,20071207,6.56,2.51,-57.95,-309.81,32.38,-10.11,14036
68,20220325,001234.SZ,泰慕士,服饰,江苏,28.34,0.27,1.07,5.84,3.91,1.35,1.75,1.64,0.755,7.9,3.61,20220111,1.86,1.74,0.0,0.0,22.69,12.32,60058
