,ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs
67,688091.SH,688091,上海谊众-U,上海,化学制药,科创板,SSE,20210909,N
68,688092.SH,688092,爱科科技,浙江,专用机械,科创板,SSE,20210319,N
69,688093.SH,688093,世华科技,江苏,化工原料,科创板,SSE,20200930,N
70,688095.SH,688095,福昕软件,福建,软件服务,科创板,SSE,20200908,N
71,688096.SH,688096,京源环保,江苏,环境保护,科创板,SSE,20200409,N
72,688097.SH,688097,博众精工,江苏,专用机械,科创板,SSE,20210512,N
73,688098.SH,688098,申联生物,上海,农业综合,科创板,SSE,20191028,N
74,688099.SH,688099,晶晨股份,上海,半导体,科创板,SSE,20190808,H
75,688100.SH,688100,威胜信息,湖南,通信设备,科创板,SSE,20200121,N
76,688101.SH,688101,三达膜,陕西,环境保护,科创板,SSE,20191115,N
77,688102.SH,688102,斯瑞新材,陕西,铜,科创板,SSE,20220316,N
78,688103.SH,688103,国力股份,江苏,电气设备,科创板,SSE,20210910,N
79,688105.SH,688105,诺唯赞,江苏,医疗保健,科创板,SSE,20211115,N
80,688106.SH,688106,金宏气体,江苏,化工原料,科创板,SSE,20200616,N
81,688107.SH,688107,安路科技-U,上海,半导体,科创板,SSE,20211112,N
82,688108.SH,688108,赛诺医疗,天津,医疗保健,科创板,SSE,20191030,N
83,688109.SH,688109,品茗股份,浙江,软件服务,科创板,SSE,20210330,N
84,688110.SH,688110,东芯股份,上海,半导体,科创板,SSE,20211210,N
85,688111.SH,688111,金山办公,北京,软件服务,科创板,SSE,20191118,H
86,688112.SH,688112,鼎阳科技,深圳,电器仪表,科创板,SSE,20211201,N
87,688113.SH,688113,联测科技,江苏,专用机械,科创板,SSE,20210506,N
88,688115.SH,688115,思林杰,广东,电器仪表,科创板,SSE,20220314,N
89,688116.SH,688116,天奈科技,江苏,化工原料,科创板,SSE,20190925,N
90,688117.SH,688117,圣诺生物,四川,生物制药,科创板,SSE,20210603,N
91,688118.SH,688118,普元信息,上海,软件服务,科创板,SSE,20191204,N
92,688121.SH,688121,卓然股份,上海,专用机械,科创板,SSE,20210906,N
93,688122.SH,688122,西部超导,陕西,小金属,科创板,SSE,20190722,H
94,688123.SH,688123,聚辰股份,上海,半导体,科创板,SSE,20191223,N
95,688126.SH,688126,沪硅产业-U,上海,半导体,科创板,SSE,20200420,H
96,688127.SH,688127,蓝特光学,浙江,元器件,科创板,SSE,20200921,N
97,688128.SH,688128,中国电研,广东,专用机械,科创板,SSE,20191105,N
98,688129.SH,688129,东来技术,上海,染料涂料,科创板,SSE,20201023,N
99,688131.SH,688131,皓元医药,上海,化学制药,科创板,SSE,20210608,N
100,688133.SH,688133,泰坦科技,上海,化工原料,科创板,SSE,20201030,N
101,688135.SH,688135,利扬芯片,广东,半导体,科创板,SSE,20201111,N
102,688136.SH,688136,科兴制药,山东,生物制药,科创板,SSE,20201214,N
103,688138.SH,688138,清溢光电,深圳,元器件,科创板,SSE,20191120,N
104,688139.SH,688139,海尔生物,山东,医疗保健,科创板,SSE,20191025,H
105,688148.SH,688148,芳源股份,广东,电气设备,科创板,SSE,20210806,N
106,688150.SH,688150,莱特光电,陕西,元器件,科创板,SSE,20220318,N
107,688151.SH,688151,华强科技,湖北,专用机械,科创板,SSE,20211206,N
108,688155.SH,688155,先惠技术,上海,专用机械,科创板,SSE,20200811,N
109,688156.SH,688156,路德环境,湖北,环境保护,科创板,SSE,20200922,N
110,688157.SH,688157,松井股份,湖南,染料涂料,科创板,SSE,20200609,N
111,688158.SH,688158,优刻得-W,上海,互联网,科创板,SSE,20200120,N
112,688159.SH,688159,有方科技,深圳,通信设备,科创板,SSE,20200123,N
113,688160.SH,688160,步科股份,上海,电器仪表,科创板,SSE,20201112,N
114,688161.SH,688161,威高骨科,山东,医疗保健,科创板,SSE,20210630,N
115,688162.SH,688162,巨一科技,安徽,专用机械,科创板,SSE,20211110,N
116,688163.SH,688163,赛伦生物,上海,生物制药,科创板,SSE,20220311,N
117,688165.SH,688165,埃夫特-U,安徽,专用机械,科创板,SSE,20200715,N
118,688166.SH,688166,博瑞医药,江苏,化学制药,科创板,SSE,20191108,H
119,688167.SH,688167,炬光科技,陕西,半导体,科创板,SSE,20211224,N
120,688168.SH,688168,安博通,北京,软件服务,科创板,SSE,20190906,N
121,688169.SH,688169,石头科技,北京,家用电器,科创板,SSE,20200221,H
122,688171.SH,688171,纬德信息,广东,软件服务,科创板,SSE,20220127,N
123,688173.SH,688173,希荻微-U,广东,半导体,科创板,SSE,20220121,N
124,688175.SH,688175,高凌信息,广东,通信设备,科创板,SSE,20220315,N
125,688176.SH,688176,亚虹医药-U,江苏,化学制药,科创板,SSE,20220107,N
126,688177.SH,688177,百奥泰-U,广东,生物制药,科创板,SSE,20200221,N
127,688178.SH,688178,万德斯,江苏,环境保护,科创板,SSE,20200114,N
128,688179.SH,688179,阿拉丁,上海,化学制药,科创板,SSE,20201026,N
129,688180.SH,688180,君实生物-U,上海,生物制药,科创板,SSE,20200715,H
130,688181.SH,688181,八亿时空,北京,半导体,科创板,SSE,20200106,N
131,688182.SH,688182,灿勤科技,江苏,通信设备,科创板,SSE,20211116,N
132,688183.SH,688183,生益电子,广东,元器件,科创板,SSE,20210225,N
133,688185.SH,688185,康希诺-U,天津,生物制药,科创板,SSE,20200813,H
134,688186.SH,688186,广大特材,江苏,特种钢,科创板,SSE,20200211,N
135,688187.SH,688187,时代电气,湖南,运输设备,科创板,SSE,20210907,H
136,688188.SH,688188,柏楚电子,上海,软件服务,科创板,SSE,20190808,H
137,688189.SH,688189,南新制药,湖南,化学制药,科创板,SSE,20200326,N
138,688190.SH,688190,云路股份,山东,矿物制品,科创板,SSE,20211126,N
139,688191.SH,688191,智洋创新,山东,软件服务,科创板,SSE,20210408,N
140,688192.SH,688192,迪哲医药-U,江苏,生物制药,科创板,SSE,20211210,N
141,688195.SH,688195,腾景科技,福建,元器件,科创板,SSE,20210326,N
142,688196.SH,688196,卓越新能,福建,环境保护,科创板,SSE,20191121,N
143,688197.SH,688197,N首药-U,北京,化学制药,科创板,SSE,20220323,N
144,688198.SH,688198,佰仁医疗,北京,医疗保健,科创板,SSE,20191209,N
145,688199.SH,688199,久日新材,天津,化工原料,科创板,SSE,20191105,N
146,688200.SH,688200,华峰测控,北京,专用机械,科创板,SSE,20200218,H
147,688201.SH,688201,信安世纪,北京,通信设备,科创板,SSE,20210421,N
148,688202.SH,688202,美迪西,上海,医疗保健,科创板,SSE,20191105,H
149,688206.SH,688206,概伦电子,上海,半导体,科创板,SSE,20211228,N
150,688207.SH,688207,格灵深瞳-U,北京,软件服务,科创板,SSE,20220317,N
151,688208.SH,688208,道通科技,深圳,汽车配件,科创板,SSE,20200213,H
152,688210.SH,688210,统联精密,深圳,元器件,科创板,SSE,20211227,N
