,ts_code,symbol,name,area,industry,market,exchange,list_status,list_date,is_hs
253,300782.SZ,300782,卓胜微,江苏,元器件,创业板,SZSE,L,20190618,S
254,300783.SZ,300783,三只松鼠,安徽,食品,创业板,SZSE,L,20190712,S
255,300785.SZ,300785,值得买,北京,互联网,创业板,SZSE,L,20190715,S
256,300788.SZ,300788,中信出版,北京,出版业,创业板,SZSE,L,20190705,S
257,300791.SZ,300791,仙乐健康,广东,医疗保健,创业板,SZSE,L,20190925,S
258,300792.SZ,300792,壹网壹创,浙江,互联网,创业板,SZSE,L,20190927,S
259,300803.SZ,300803,指南针,北京,软件服务,创业板,SZSE,L,20191118,S
260,300806.SZ,300806,斯迪克,江苏,塑料,创业板,SZSE,L,20191125,S
261,300815.SZ,300815,玉禾田,安徽,环境保护,创业板,SZSE,L,20200123,S
262,300821.SZ,300821,东岳硅材,山东,化工原料,创业板,SZSE,L,20200312,S
263,300825.SZ,300825,阿尔特,北京,汽车服务,创业板,SZSE,L,20200327,S
264,300827.SZ,300827,上能电气,江苏,电气设备,创业板,SZSE,L,20200410,S
265,300829.SZ,300829,金丹科技,河南,食品,创业板,SZSE,L,20200422,S
266,300832.SZ,300832,新产业,深圳,医疗保健,创业板,SZSE,L,20200512,S
267,300841.SZ,300841,康华生物,四川,生物制药,创业板,SZSE,L,20200616,S
268,300850.SZ,300850,新强联,河南,机械基件,创业板,SZSE,L,20200713,S
269,300855.SZ,300855,图南股份,江苏,钢加工,创业板,SZSE,L,20200723,S
270,300860.SZ,300860,锋尚文化,北京,文教休闲,创业板,SZSE,L,20200824,S
271,300861.SZ,300861,美畅股份,陕西,矿物制品,创业板,SZSE,L,20200824,S
272,300866.SZ,300866,安克创新,湖南,元器件,创业板,SZSE,L,20200824,S
273,300867.SZ,300867,圣元环保,福建,环境保护,创业板,SZSE,L,20200824,S
274,300869.SZ,300869,康泰医学,河北,医疗保健,创业板,SZSE,L,20200824,S
275,300872.SZ,300872,天阳科技,西藏,软件服务,创业板,SZSE,L,20200824,S
